code,siCode,siName,guCode,guName,fullName,name,active
1111010100,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 청운동,청운동,true
1111010200,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 신교동,신교동,true
1111010300,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 궁정동,궁정동,true
1111010400,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 효자동,효자동,true
1111010500,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 창성동,창성동,true
1111010600,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 통의동,통의동,true
1111010700,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 적선동,적선동,true
1111010800,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 통인동,통인동,true
1111010900,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 누상동,누상동,true
1111011000,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 누하동,누하동,true
1111011100,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 옥인동,옥인동,true
1111011200,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 체부동,체부동,true
1111011300,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 필운동,필운동,true
1111011400,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 내자동,내자동,true
1111011500,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 사직동,사직동,true
1111011600,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 도렴동,도렴동,true
1111011700,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 당주동,당주동,true
1111011800,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 내수동,내수동,true
1111011900,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 세종로,세종로,true
1111012000,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 신문로1가,신문로1가,true
1111012100,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 신문로2가,신문로2가,true
1111012200,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 청진동,청진동,true
1111012300,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 서린동,서린동,true
1111012400,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 수송동,수송동,true
1111012500,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 중학동,중학동,true
1111012600,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 종로1가,종로1가,true
1111012700,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 공평동,공평동,true
1111012800,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 관훈동,관훈동,true
1111012900,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 견지동,견지동,true
1111013000,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 와룡동,와룡동,true
1111013100,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 권농동,권농동,true
1111013200,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 운니동,운니동,true
1111013300,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 익선동,익선동,true
1111013400,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 경운동,경운동,true
1111013500,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 관철동,관철동,true
1111013600,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 인사동,인사동,true
1111013700,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 낙원동,낙원동,true
1111013800,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 종로2가,종로2가,true
